q_dirs,traj,event_class,rows,base_conditions,mean_cost,positive_tail
4,lemniscate,path_only,110,28,0.8425448200384194,1.315661510568003
4,square,path_only,34,16,1.0527822341903579,1.0527822341903579
4,zigzag,path_only,88,20,1.7583455950963525,2.3018590384869255
8,lemniscate,path_only,31,16,-0.013080362267954181,0.1856508507145685
8,square,path_only,11,8,1.5881091498033448,1.6836870682507348
8,zigzag,path_only,18,15,0.19300597384972965,0.2216382768893673
16,lemniscate,path_only,14,10,0.21625803316400732,0.21715768440039446
16,zigzag,path_only,3,3,-0.0787359672607386,0.0
4,circle,quiet,1255,32,0.751978353359904,1.1799102418714984
4,lemniscate,quiet,932,32,0.8186177759940929,1.191740061644749
4,square,quiet,1979,32,0.20598186208466834,0.3194804608690036
4,zigzag,quiet,743,32,1.2983863218325555,2.0953093638501885
8,circle,quiet,443,32,0.20528277737477799,0.3240660302590377
8,lemniscate,quiet,141,32,0.4645680699499526,0.5789869495710193
8,square,quiet,548,32,0.23395016768129157,0.2975486012985999
8,zigzag,quiet,322,32,1.1415755048407839,1.721999479253598
16,circle,quiet,106,32,0.10807482372660737,0.13450817028659598
16,lemniscate,quiet,48,32,0.00966599278576769,0.06335487160268473
16,square,quiet,194,32,0.06341086744027466,0.12250132497933668
16,zigzag,quiet,110,32,0.9137804923415349,1.6928456013531386
4,circle,vote_only,1913,32,-0.4767017196854692,0.6637404084779753
4,lemniscate,vote_only,1453,32,-0.2825133677867095,0.6596786315981674
4,square,vote_only,995,32,-0.378187210224579,0.8048644206851512
4,zigzag,vote_only,1958,32,-0.5595599300155295,0.936455385430453
8,circle,vote_only,2725,32,-0.04211051373904597,0.3919298935854235
8,lemniscate,vote_only,2440,32,0.09048746989390467,0.566313756787297
8,square,vote_only,2310,32,-0.10957950512904259,0.5536008705882454
8,zigzag,vote_only,2300,32,-0.019141658512363546,1.0650768760948153
16,circle,vote_only,3062,32,-0.008229963478893236,0.16907131112277454
16,lemniscate,vote_only,2638,32,0.01883869518144701,0.3889885523751776
16,square,vote_only,2761,32,-0.03490646707835537,0.4516982721530238
16,zigzag,vote_only,2523,32,0.05899449403149978,1.1967320204678238
4,lemniscate,vote_path_coincident,673,32,-0.6725067642343082,0.2707322710597639
4,square,vote_path_coincident,160,32,-0.39011605566246427,0.28732858482710066
4,zigzag,vote_path_coincident,379,32,-0.06396060183352924,1.1842691949749982
8,lemniscate,vote_path_coincident,556,32,-0.5096219973316678,0.2318721794686665
8,square,vote_path_coincident,299,32,0.26368460679185646,0.9489716799312832
8,zigzag,vote_path_coincident,528,32,-0.40472553756336577,0.5843294346883657
16,lemniscate,vote_path_coincident,468,32,-0.10547559065574531,0.2909805453899746
16,square,vote_path_coincident,213,32,0.24938251211795118,0.7966939637827091
16,zigzag,vote_path_coincident,532,32,-0.21557608838887624,0.6568940509989072
