metric,group,n,mean_q4_minus_q16,fraction_q4_gt_q16
vote_switch_chord2_mean,overall,128,0.22000806789037852,0.7109375
vote_switch_chord2_mean,traj=circle,32,0.26793320991133207,0.78125
vote_switch_chord2_mean,traj=lemniscate,32,0.4564504806475955,0.875
vote_switch_chord2_mean,traj=square,32,-0.04244327689153195,0.28125
vote_switch_chord2_mean,traj=zigzag,32,0.19809185789411848,0.90625
vote_switch_chord2_mean,delay=12,64,0.28912923329948553,0.65625
vote_switch_chord2_mean,delay=34,64,0.1508869024812715,0.765625
vote_switch_chord2_mean,tr=0.25,64,0.3373169577003052,0.859375
vote_switch_chord2_mean,tr=0.35,64,0.10269917808045188,0.5625
agg_cell_jump_chord2_mean,overall,128,0.07287635418419178,0.5859375
agg_cell_jump_chord2_mean,traj=circle,32,0.04586053402358972,0.75
agg_cell_jump_chord2_mean,traj=lemniscate,32,0.3478360454177421,0.65625
agg_cell_jump_chord2_mean,traj=square,32,-0.2157844609658297,0.21875
agg_cell_jump_chord2_mean,traj=zigzag,32,0.11359329826126499,0.71875
agg_cell_jump_chord2_mean,delay=12,64,0.23870461987048425,0.59375
agg_cell_jump_chord2_mean,delay=34,64,-0.09295191150210069,0.578125
agg_cell_jump_chord2_mean,tr=0.25,64,0.3347090063323578,0.828125
agg_cell_jump_chord2_mean,tr=0.35,64,-0.18895629796397426,0.34375
vote_path_coincident_rate,overall,128,-0.00015625000000000057,0.234375
vote_path_coincident_rate,traj=circle,32,0.0,0.0
vote_path_coincident_rate,traj=lemniscate,32,0.064375,0.59375
vote_path_coincident_rate,traj=square,32,-0.01625,0.21875
vote_path_coincident_rate,traj=zigzag,32,-0.04875,0.125
vote_path_coincident_rate,delay=12,64,0.027500000000000004,0.34375
vote_path_coincident_rate,delay=34,64,-0.027812500000000004,0.125
vote_path_coincident_rate,tr=0.25,64,0.0031249999999999976,0.15625
vote_path_coincident_rate,tr=0.35,64,-0.0034374999999999987,0.3125
positive_err2_increment_t3,overall,128,0.2520240186665056,0.75
positive_err2_increment_t3,traj=circle,32,0.5424423361859222,1.0
positive_err2_increment_t3,traj=lemniscate,32,0.357784611686979,0.96875
positive_err2_increment_t3,traj=square,32,-0.04369411827438985,0.25
positive_err2_increment_t3,traj=zigzag,32,0.15156324506751095,0.78125
positive_err2_increment_t3,delay=12,64,0.13462434469819368,0.625
positive_err2_increment_t3,delay=34,64,0.3694236926348175,0.875
positive_err2_increment_t3,tr=0.25,64,0.25410677359112954,0.703125
positive_err2_increment_t3,tr=0.35,64,0.2499412637418816,0.796875
counterfactual_event_cost_sscrn,overall,128,-0.0051232565001068054,0.53125
counterfactual_event_cost_sscrn,traj=circle,32,0.014377102451302965,0.78125
counterfactual_event_cost_sscrn,traj=lemniscate,32,-0.0035614772325880764,0.5
counterfactual_event_cost_sscrn,traj=square,32,0.01126086811470412,0.53125
counterfactual_event_cost_sscrn,traj=zigzag,32,-0.04256951933384623,0.3125
counterfactual_event_cost_sscrn,delay=12,64,-0.0013118803336307791,0.5
counterfactual_event_cost_sscrn,delay=34,64,-0.008934632666582829,0.5625
counterfactual_event_cost_sscrn,tr=0.25,64,-0.010272464968171547,0.53125
counterfactual_event_cost_sscrn,tr=0.35,64,2.5951967957937513e-05,0.53125
positive_counterfactual_event_cost_sscrn,overall,128,0.31623395304515145,0.78125
positive_counterfactual_event_cost_sscrn,traj=circle,32,0.7003057241978479,1.0
positive_counterfactual_event_cost_sscrn,traj=lemniscate,32,0.38754054164267165,0.96875
positive_counterfactual_event_cost_sscrn,traj=square,32,0.02344037229485,0.46875
positive_counterfactual_event_cost_sscrn,traj=zigzag,32,0.15364917404523604,0.6875
positive_counterfactual_event_cost_sscrn,delay=12,64,0.16900228359083144,0.640625
positive_counterfactual_event_cost_sscrn,delay=34,64,0.4634656224994713,0.921875
positive_counterfactual_event_cost_sscrn,tr=0.25,64,0.30388902855750677,0.765625
positive_counterfactual_event_cost_sscrn,tr=0.35,64,0.3285788775327961,0.796875
