q_dirs,traj,tr,delay,rep,paired_id,base_condition_id,vote_bin_switch_rate,vote_switch_chord2_mean,agg_cell_switch_rate,agg_cell_jump_chord2_mean,path_event_rate,endpoint_wrap_rate,branch_event_rate,vote_path_coincident_rate,positive_err2_increment_t3,counterfactual_event_cost_sscrn,positive_counterfactual_event_cost_sscrn,rmse_t3,rmse_honest,rmse_gap_t3_minus_honest
4,circle,0.25,12,0,sscrn_circle_tr0.25_d12_rep0_q4,sscrn_circle_tr0.25_d12_rep0,0.24539999999999998,0.49079999999999996,0.25,0.5,0.0,0.0,0.0,0.0,0.3450053529120637,0.003482973333245785,0.5341269370892264,0.7404276960689365,0.7628611045633377,-0.02243340849440112
4,circle,0.25,12,1,sscrn_circle_tr0.25_d12_rep1_q4,sscrn_circle_tr0.25_d12_rep1,0.2452,0.4904,0.25,0.5,0.0,0.0,0.0,0.0,0.3331117185039003,0.000580860882252513,0.4838621960803206,0.7362423528417478,0.7083990303589357,0.027843322482812072
4,circle,0.25,12,2,sscrn_circle_tr0.25_d12_rep2_q4,sscrn_circle_tr0.25_d12_rep2,0.2466,0.4932,0.24,0.48,0.0,0.0,0.0,0.0,0.334087465093886,0.0031660685920370042,0.365312680436721,0.741341819529941,0.7230469432020662,0.018294876327874854
4,circle,0.25,12,3,sscrn_circle_tr0.25_d12_rep3_q4,sscrn_circle_tr0.25_d12_rep3,0.25120000000000003,0.5024000000000001,0.26,0.52,0.0,0.0,0.0,0.0,0.32277601490860097,0.0012106654183158647,0.4422239594143629,0.7232518051127487,0.7779755785535946,-0.05472377344084589
4,circle,0.25,12,4,sscrn_circle_tr0.25_d12_rep4_q4,sscrn_circle_tr0.25_d12_rep4,0.24420000000000003,0.48839999999999995,0.25,0.5,0.0,0.0,0.0,0.0,0.35233271819994877,-0.010824411358184117,0.5254078903774974,0.7366833390765839,0.7394388400794725,-0.002755501002888572
4,circle,0.25,12,5,sscrn_circle_tr0.25_d12_rep5_q4,sscrn_circle_tr0.25_d12_rep5,0.24960000000000002,0.49920000000000003,0.25,0.5,0.0,0.0,0.0,0.0,0.34534078103148214,-0.0015898622555523456,0.47612810842417413,0.7481266063100672,0.7095139384751262,0.038612667834940995
4,circle,0.25,12,6,sscrn_circle_tr0.25_d12_rep6_q4,sscrn_circle_tr0.25_d12_rep6,0.2564,0.5128,0.27,0.54,0.0,0.0,0.0,0.0,0.35979283537172907,0.013750425590281163,0.47267020161305545,0.737531777232858,0.7352633660160464,0.00226841121681165
4,circle,0.25,12,7,sscrn_circle_tr0.25_d12_rep7_q4,sscrn_circle_tr0.25_d12_rep7,0.25,0.5,0.26,0.52,0.0,0.0,0.0,0.0,0.3328288451703738,0.008396341123709837,0.47735340781829705,0.7140803091350351,0.7289235970033359,-0.014843287868300803
4,circle,0.25,34,0,sscrn_circle_tr0.25_d34_rep0_q4,sscrn_circle_tr0.25_d34_rep0,0.2052,0.4104,0.2,0.4,0.0,0.0,0.0,0.0,0.948282826871843,0.014718955709013524,0.902754577906597,1.5479284163429354,1.7452480722374262,-0.19731965589449074
4,circle,0.25,34,1,sscrn_circle_tr0.25_d34_rep1_q4,sscrn_circle_tr0.25_d34_rep1,0.1966,0.3932,0.19,0.38,0.0,0.0,0.0,0.0,1.0059662744583953,0.019290151756918346,1.366452555167173,1.6142009968507678,1.5634764786820277,0.05072451816874013
4,circle,0.25,34,2,sscrn_circle_tr0.25_d34_rep2_q4,sscrn_circle_tr0.25_d34_rep2,0.2048,0.4096,0.2,0.4,0.0,0.0,0.0,0.0,1.0261324233505185,0.026100910302734197,1.2494118405711643,1.6386384609328668,1.6843663642757982,-0.04572790334293142
4,circle,0.25,34,3,sscrn_circle_tr0.25_d34_rep3_q4,sscrn_circle_tr0.25_d34_rep3,0.1948,0.3896,0.19,0.38,0.0,0.0,0.0,0.0,0.9432853882038449,-1.103650582782986e-05,1.2409119103177446,1.5749764924467264,1.677556015662346,-0.10257952321561947
