base_condition_id,paired_id,q_dirs,traj,tr,delay,rep,rmse_t3,rmse_honest,rmse_gap_t3_minus_honest
sscrn_circle_tr0.25_d12_rep0,sscrn_circle_tr0.25_d12_rep0_q4,4,circle,0.25,12,0,0.7404276960689365,0.7628611045633377,-0.02243340849440112
sscrn_circle_tr0.25_d12_rep0,sscrn_circle_tr0.25_d12_rep0_q8,8,circle,0.25,12,0,0.3390891928782258,0.3583637353107743,-0.019274542432548503
sscrn_circle_tr0.25_d12_rep0,sscrn_circle_tr0.25_d12_rep0_q16,16,circle,0.25,12,0,0.21824132499107374,0.2616360463668442,-0.04339472137577044
sscrn_circle_tr0.25_d12_rep1,sscrn_circle_tr0.25_d12_rep1_q4,4,circle,0.25,12,1,0.7362423528417478,0.7083990303589357,0.027843322482812072
sscrn_circle_tr0.25_d12_rep1,sscrn_circle_tr0.25_d12_rep1_q8,8,circle,0.25,12,1,0.3327376793781432,0.35652080756333643,-0.023783128185193236
sscrn_circle_tr0.25_d12_rep1,sscrn_circle_tr0.25_d12_rep1_q16,16,circle,0.25,12,1,0.21047811908037178,0.254496977570562,-0.044018858490190216
sscrn_circle_tr0.25_d12_rep2,sscrn_circle_tr0.25_d12_rep2_q4,4,circle,0.25,12,2,0.741341819529941,0.7230469432020662,0.018294876327874854
sscrn_circle_tr0.25_d12_rep2,sscrn_circle_tr0.25_d12_rep2_q8,8,circle,0.25,12,2,0.3332411452032929,0.33745929572533023,-0.004218150522037334
sscrn_circle_tr0.25_d12_rep2,sscrn_circle_tr0.25_d12_rep2_q16,16,circle,0.25,12,2,0.20020534274002846,0.2589862225126913,-0.05878087977266286
sscrn_circle_tr0.25_d12_rep3,sscrn_circle_tr0.25_d12_rep3_q4,4,circle,0.25,12,3,0.7232518051127487,0.7779755785535946,-0.05472377344084589
sscrn_circle_tr0.25_d12_rep3,sscrn_circle_tr0.25_d12_rep3_q8,8,circle,0.25,12,3,0.3197545922799258,0.35713924177919487,-0.03738464949926906
sscrn_circle_tr0.25_d12_rep3,sscrn_circle_tr0.25_d12_rep3_q16,16,circle,0.25,12,3,0.19558107080268777,0.25618772377676496,-0.06060665297407719
sscrn_circle_tr0.25_d12_rep4,sscrn_circle_tr0.25_d12_rep4_q4,4,circle,0.25,12,4,0.7366833390765839,0.7394388400794725,-0.002755501002888572
