Metric,Contrast,Mean,95% CI low,95% CI high,n_clusters,bootstrap_draws,seed
mean vote-jump chord2 per vote opportunity,q4_minus_q8,-0.019782291627200577,-0.10452821664048358,0.06701612464100874,128,2000,20260802
mean vote-jump chord2 per vote opportunity,q8_minus_q16,0.23979035951757893,0.15020018265887056,0.32810619530460783,128,2000,20260802
mean vote-jump chord2 per vote opportunity,q4_minus_q16,0.22000806789037836,0.13621276835451832,0.3104902558163763,128,2000,20260802
aggregate jump chord2,q4_minus_q8,-0.3761460589978586,-0.518396018859368,-0.23940517997367744,128,2000,20260802
aggregate jump chord2,q8_minus_q16,0.4490224131820505,0.33895116812568793,0.5654707422227038,128,2000,20260802
aggregate jump chord2,q4_minus_q16,0.07287635418419192,-0.03459574911709123,0.1870334790195024,128,2000,20260802
path/vote co-occurrence,q4_minus_q8,-0.013437500000000088,-0.02765624999999998,0.0018749999999999052,128,2000,20260802
path/vote co-occurrence,q8_minus_q16,0.013281250000000064,-0.00015820312499992782,0.02648632812499998,128,2000,20260802
path/vote co-occurrence,q4_minus_q16,-0.00015625000000002442,-0.014062500000000033,0.01554687500000003,128,2000,20260802
positive intervention error-squared increment,q4_minus_q8,0.199923037577463,0.15842789135041999,0.2405430267694237,128,2000,20260802
positive intervention error-squared increment,q8_minus_q16,0.052100981089042375,0.03304604913569752,0.07233753775521151,128,2000,20260802
positive intervention error-squared increment,q4_minus_q16,0.25202401866650537,0.20432784129615816,0.2992186003550509,128,2000,20260802
mean counterfactual event cost,q4_minus_q8,-0.002747452343972969,-0.01227865103462251,0.005658092829794398,128,2000,20260802
mean counterfactual event cost,q8_minus_q16,-0.0023758041561338433,-0.008985821576265412,0.004146048571936136,128,2000,20260802
mean counterfactual event cost,q4_minus_q16,-0.005123256500106812,-0.013254781784957224,0.0023166276676541983,128,2000,20260802
mean positive-part counterfactual cost,q4_minus_q8,0.22354920239108678,0.1707278716110882,0.2734706634974278,128,2000,20260802
mean positive-part counterfactual cost,q8_minus_q16,0.09268475065406456,0.054598938376610215,0.1273173463472491,128,2000,20260802
mean positive-part counterfactual cost,q4_minus_q16,0.31623395304515134,0.25648770812383187,0.3728925306626414,128,2000,20260802
