metric,group,n,mean_q4_minus_q16,fraction_q4_gt_q16
vote_switch_chord2_mean,overall,128,0.2358027337539764,0.6953125
vote_switch_chord2_mean,traj=circle,32,0.26475015106319627,0.75
vote_switch_chord2_mean,traj=lemniscate,32,0.49623836594594867,0.78125
vote_switch_chord2_mean,traj=square,32,-0.05081610484353141,0.28125
vote_switch_chord2_mean,traj=zigzag,32,0.23303852285029192,0.96875
vote_switch_chord2_mean,delay=12,64,0.35223328035407886,0.6875
vote_switch_chord2_mean,delay=34,64,0.11937218715387388,0.703125
vote_switch_chord2_mean,tr=0.25,64,0.24631702864539418,0.84375
vote_switch_chord2_mean,tr=0.35,64,0.22528843886255856,0.546875
agg_cell_jump_chord2_mean,overall,128,0.08272397221949838,0.59375
agg_cell_jump_chord2_mean,traj=circle,32,0.043124795948228725,0.75
agg_cell_jump_chord2_mean,traj=lemniscate,32,0.3918673669540953,0.65625
agg_cell_jump_chord2_mean,traj=square,32,-0.23980241318644882,0.21875
agg_cell_jump_chord2_mean,traj=zigzag,32,0.13570613916211832,0.75
agg_cell_jump_chord2_mean,delay=12,64,0.30304090207138557,0.671875
agg_cell_jump_chord2_mean,delay=34,64,-0.13759295763238882,0.515625
agg_cell_jump_chord2_mean,tr=0.25,64,0.23134672644779802,0.828125
agg_cell_jump_chord2_mean,tr=0.35,64,-0.06589878200880123,0.359375
vote_path_coincident_rate,overall,128,0.004609374999999999,0.2265625
vote_path_coincident_rate,traj=circle,32,0.0,0.0
vote_path_coincident_rate,traj=lemniscate,32,0.07812499999999999,0.53125
vote_path_coincident_rate,traj=square,32,-0.007812499999999998,0.25
vote_path_coincident_rate,traj=zigzag,32,-0.051875,0.125
vote_path_coincident_rate,delay=12,64,0.037968749999999996,0.359375
vote_path_coincident_rate,delay=34,64,-0.02875,0.09375
vote_path_coincident_rate,tr=0.25,64,-0.0046875000000000016,0.203125
vote_path_coincident_rate,tr=0.35,64,0.013906249999999997,0.25
positive_err2_increment_t3,overall,128,0.24818177658166482,0.7265625
positive_err2_increment_t3,traj=circle,32,0.5407199332868404,1.0
positive_err2_increment_t3,traj=lemniscate,32,0.31994762229235035,0.9375
positive_err2_increment_t3,traj=square,32,-0.044714610174551604,0.21875
positive_err2_increment_t3,traj=zigzag,32,0.1767741609220201,0.75
positive_err2_increment_t3,delay=12,64,0.12653404356374448,0.59375
positive_err2_increment_t3,delay=34,64,0.36982950959958505,0.859375
positive_err2_increment_t3,tr=0.25,64,0.23345963203253575,0.6875
positive_err2_increment_t3,tr=0.35,64,0.2629039211307938,0.765625
counterfactual_event_cost_mean,overall,128,-0.004336498509356875,0.5078125
counterfactual_event_cost_mean,traj=circle,32,0.016510179579741165,0.78125
counterfactual_event_cost_mean,traj=lemniscate,32,0.001712615376762605,0.5625
counterfactual_event_cost_mean,traj=square,32,0.0041045480719230565,0.4375
counterfactual_event_cost_mean,traj=zigzag,32,-0.039673337065854325,0.25
counterfactual_event_cost_mean,delay=12,64,-0.001392090619918154,0.5
counterfactual_event_cost_mean,delay=34,64,-0.007280906398795595,0.515625
counterfactual_event_cost_mean,tr=0.25,64,-0.005747807946432057,0.5
counterfactual_event_cost_mean,tr=0.35,64,-0.0029251890722816914,0.515625
