traj,tr,delay,rep,mode,rmse_reference_engine,rmse_frozen_instrumented,abs_diff
circle,0.25,12,0,T3,0.3343968980389165,0.3343968980389165,0.0
circle,0.25,12,0,honest,0.3548632638213909,0.3548632638213909,0.0
circle,0.25,12,1,T3,0.3183583050739596,0.3183583050739596,0.0
circle,0.25,12,1,honest,0.35444394974174015,0.35444394974174015,0.0
circle,0.25,12,2,T3,0.32468664259492797,0.32468664259492797,0.0
circle,0.25,12,2,honest,0.36925412560236087,0.36925412560236087,0.0
circle,0.25,12,3,T3,0.3203352671383409,0.3203352671383409,0.0
circle,0.25,12,3,honest,0.3530513012068797,0.3530513012068797,0.0
circle,0.25,34,0,T3,0.9533813414544301,0.9533813414544301,0.0
circle,0.25,34,0,honest,1.2150961501513693,1.2150961501513693,0.0
circle,0.25,34,1,T3,1.0038331456733531,1.0038331456733531,0.0
circle,0.25,34,1,honest,1.2957793089478065,1.2957793089478065,0.0
circle,0.25,34,2,T3,1.0124711285265293,1.0124711285265293,0.0
circle,0.25,34,2,honest,1.190443192079349,1.190443192079349,0.0
circle,0.25,34,3,T3,1.0403617002760825,1.0403617002760825,0.0
circle,0.25,34,3,honest,1.3300929355998463,1.3300929355998463,0.0
circle,0.35,12,0,T3,0.3619821962207607,0.3619821962207607,0.0
circle,0.35,12,0,honest,0.3530543033825308,0.3530543033825308,0.0
circle,0.35,12,1,T3,0.3373419766538709,0.33734197665387095,5.551115123125783e-17
circle,0.35,12,1,honest,0.35575999897888944,0.35575999897888944,0.0
circle,0.35,12,2,T3,0.3332578823778296,0.3332578823778296,0.0
circle,0.35,12,2,honest,0.3593380132331865,0.3593380132331865,0.0
circle,0.35,12,3,T3,0.3350043224683268,0.3350043224683268,0.0
circle,0.35,12,3,honest,0.35049687409185176,0.35049687409185176,0.0
circle,0.35,34,0,T3,0.6359029427843461,0.6359029427843461,0.0
circle,0.35,34,0,honest,1.2084322369688614,1.2084322369688614,0.0
circle,0.35,34,1,T3,0.6095861721641624,0.6095861721641624,0.0
circle,0.35,34,1,honest,1.2054710151092383,1.2054710151092383,0.0
circle,0.35,34,2,T3,0.5984495189088266,0.5984495189088266,0.0
circle,0.35,34,2,honest,1.1736053649252571,1.1736053649252571,0.0
circle,0.35,34,3,T3,0.6050297635746502,0.6050297635746502,0.0
circle,0.35,34,3,honest,1.2462922423450684,1.2462922423450684,0.0
square,0.25,12,0,T3,0.42637013349309894,0.42637013349309894,0.0
square,0.25,12,0,honest,0.6833445371903644,0.6833445371903644,0.0
square,0.25,12,1,T3,0.41906703150738983,0.41906703150738983,0.0
square,0.25,12,1,honest,0.6889418577092654,0.6889418577092654,0.0
square,0.25,12,2,T3,0.33062649733312105,0.33062649733312105,0.0
square,0.25,12,2,honest,0.6905101392494007,0.6905101392494007,0.0
square,0.25,12,3,T3,0.408240420632836,0.408240420632836,0.0
square,0.25,12,3,honest,0.7031469336328793,0.7031469336328793,0.0
square,0.25,34,0,T3,1.2565180847432194,1.2565180847432191,2.220446049250313e-16
square,0.25,34,0,honest,1.4777124192944602,1.4777124192944602,0.0
square,0.25,34,1,T3,1.2278771608082828,1.2278771608082828,0.0
square,0.25,34,1,honest,1.450093582810672,1.450093582810672,0.0
square,0.25,34,2,T3,1.325592794997493,1.325592794997493,0.0
square,0.25,34,2,honest,1.4506992629182973,1.4506992629182973,0.0
square,0.25,34,3,T3,1.239805380212088,1.239805380212088,0.0
square,0.25,34,3,honest,1.4743590147175225,1.4743590147175225,0.0
square,0.35,12,0,T3,0.37553081579617914,0.37553081579617914,0.0
square,0.35,12,0,honest,0.7095808279221945,0.7095808279221945,0.0
square,0.35,12,1,T3,0.48692229722370756,0.4869222972237075,5.551115123125783e-17
square,0.35,12,1,honest,0.7008872768157378,0.7008872768157378,0.0
square,0.35,12,2,T3,0.4537585630692615,0.4537585630692615,0.0
square,0.35,12,2,honest,0.6891422555549626,0.6891422555549626,0.0
square,0.35,12,3,T3,0.43614498804217555,0.43614498804217555,0.0
square,0.35,12,3,honest,0.7187433475695271,0.7187433475695271,0.0
square,0.35,34,0,T3,1.1032672983438223,1.1032672983438223,0.0
square,0.35,34,0,honest,1.473763736114982,1.473763736114982,0.0
square,0.35,34,1,T3,1.0460155085095688,1.0460155085095688,0.0
square,0.35,34,1,honest,1.4647781442229348,1.4647781442229348,0.0
square,0.35,34,2,T3,1.0152058542717113,1.0152058542717113,0.0
square,0.35,34,2,honest,1.4643427120031953,1.4643427120031953,0.0
square,0.35,34,3,T3,0.9768598462346786,0.9768598462346786,0.0
square,0.35,34,3,honest,1.475485846103393,1.475485846103393,0.0
zigzag,0.25,12,0,T3,1.174440787979169,1.174440787979169,0.0
zigzag,0.25,12,0,honest,1.2591644236184634,1.2591644236184631,2.220446049250313e-16
zigzag,0.25,12,1,T3,1.270839545267148,1.270839545267148,0.0
zigzag,0.25,12,1,honest,1.3980742085765703,1.3980742085765703,0.0
zigzag,0.25,12,2,T3,1.1543273737650905,1.1543273737650905,0.0
zigzag,0.25,12,2,honest,1.3406219621501243,1.3406219621501243,0.0
zigzag,0.25,12,3,T3,1.252873297849623,1.252873297849623,0.0
zigzag,0.25,12,3,honest,1.282003843813032,1.282003843813032,0.0
zigzag,0.25,34,0,T3,1.8104162415618048,1.8104162415618048,0.0
zigzag,0.25,34,0,honest,1.8942593285177756,1.8942593285177753,2.220446049250313e-16
zigzag,0.25,34,1,T3,1.779108715948975,1.779108715948975,0.0
zigzag,0.25,34,1,honest,1.954523718287436,1.954523718287436,0.0
zigzag,0.25,34,2,T3,1.789380003108704,1.789380003108704,0.0
zigzag,0.25,34,2,honest,1.8960097148776018,1.8960097148776018,0.0
zigzag,0.25,34,3,T3,1.7982002401771906,1.7982002401771906,0.0
zigzag,0.25,34,3,honest,1.9317869887729893,1.931786988772989,2.220446049250313e-16
zigzag,0.35,12,0,T3,1.2289150871878254,1.2289150871878254,0.0
zigzag,0.35,12,0,honest,1.4302046175274221,1.4302046175274221,0.0
zigzag,0.35,12,1,T3,1.2261467295761619,1.2261467295761619,0.0
zigzag,0.35,12,1,honest,1.2977095123447957,1.2977095123447957,0.0
zigzag,0.35,12,2,T3,1.269457932810768,1.269457932810768,0.0
zigzag,0.35,12,2,honest,1.3855445358391139,1.3855445358391139,0.0
zigzag,0.35,12,3,T3,1.1479773074818669,1.1479773074818669,0.0
zigzag,0.35,12,3,honest,1.3605437518154684,1.3605437518154684,0.0
zigzag,0.35,34,0,T3,1.5477970490676158,1.5477970490676158,0.0
zigzag,0.35,34,0,honest,1.8945175096263758,1.8945175096263758,0.0
zigzag,0.35,34,1,T3,1.602091361022056,1.602091361022056,0.0
zigzag,0.35,34,1,honest,1.8745769365342564,1.8745769365342562,2.220446049250313e-16
zigzag,0.35,34,2,T3,1.4997126708480522,1.4997126708480522,0.0
zigzag,0.35,34,2,honest,1.8749305702850407,1.8749305702850407,0.0
zigzag,0.35,34,3,T3,1.4591912140109857,1.4591912140109857,0.0
zigzag,0.35,34,3,honest,1.9330689856112862,1.9330689856112862,0.0
lemniscate,0.25,12,0,T3,0.3707323767994468,0.3707323767994468,0.0
lemniscate,0.25,12,0,honest,0.629569532366873,0.629569532366873,0.0
lemniscate,0.25,12,1,T3,0.44427172543409166,0.44427172543409166,0.0
lemniscate,0.25,12,1,honest,0.5985223511426296,0.5985223511426296,0.0
lemniscate,0.25,12,2,T3,0.4410861919019094,0.4410861919019094,0.0
lemniscate,0.25,12,2,honest,0.5975987703122203,0.5975987703122203,0.0
lemniscate,0.25,12,3,T3,0.40254968041240086,0.40254968041240086,0.0
lemniscate,0.25,12,3,honest,0.6262062498928747,0.6262062498928747,0.0
lemniscate,0.25,34,0,T3,1.3237898963324204,1.3237898963324206,2.220446049250313e-16
lemniscate,0.25,34,0,honest,1.590901310494991,1.5909013104949907,2.220446049250313e-16
lemniscate,0.25,34,1,T3,1.179373995427249,1.179373995427249,0.0
lemniscate,0.25,34,1,honest,1.64375367026426,1.6437536702642603,4.440892098500626e-16
lemniscate,0.25,34,2,T3,1.2693761503811332,1.2693761503811332,0.0
lemniscate,0.25,34,2,honest,1.601059649089577,1.6010596490895768,2.220446049250313e-16
lemniscate,0.25,34,3,T3,1.3975196615774348,1.3975196615774348,0.0
lemniscate,0.25,34,3,honest,1.6114632313873687,1.6114632313873687,0.0
lemniscate,0.35,12,0,T3,0.33492817464640406,0.33492817464640406,0.0
lemniscate,0.35,12,0,honest,0.6091285153840825,0.6091285153840825,0.0
lemniscate,0.35,12,1,T3,1.237083790600924,1.237083790600924,0.0
