traj,tr,delay,observed_gap,dataset,gap_hat_E_locked,gap_hat_E_locked_source,tr_key,delay_key,traj_key,relief_consistency_overshoot_availability_index_mean,corner_turn_phase_index_mean,v3_residual_target,RCOAI_standardized,CTPI_standardized,v3_option_a_correction,gap_hat_A_development,v3_development_residual_after_correction
circle,0.2,0,-0.0595711393017816,original_96,0.15081956415580716,reconstructed_locked_E_in_sample_from_original_96_training_formula,0.2,0,circle,0.1623949805313444,6.979990010181514e-16,-0.21039070345758876,-0.276521253305701,-0.6494574462104482,-0.0007903962676943174,0.15002916788811285,-0.20960030718989445
circle,0.2,8,0.0406710695436763,original_96,0.05391941641578452,reconstructed_locked_E_in_sample_from_original_96_training_formula,0.2,8,circle,0.695611291987063,0.0188374557927181,-0.01324834687210822,0.9161971681873209,-0.6401778348062789,0.0026188179517861003,0.05653823436757062,-0.01586716482389432
circle,0.2,18,0.0874908828776035,original_96,0.1704309689483157,reconstructed_locked_E_in_sample_from_original_96_training_formula,0.2,18,circle,0.6673749648034749,0.0422221078365375,-0.0829400860707122,0.8530370831268577,-0.6286582067749682,0.0024382839244654,0.1728692528727811,-0.0853783699951776
circle,0.2,26,0.0847588652055486,original_96,0.06011611420554279,reconstructed_locked_E_in_sample_from_original_96_training_formula,0.2,26,circle,0.5617043984881938,0.0594821923827063,0.024642751000005805,0.6166691619922797,-0.6201556319498968,0.0017626601869261504,0.06187877439246894,0.022880090813079654
circle,0.2,34,0.2225726744763141,original_96,0.20723703434254573,reconstructed_locked_E_in_sample_from_original_96_training_formula,0.2,34,circle,0.5366181427663012,0.0744746546128038,0.015335640133768369,0.5605552759708637,-0.6127701216656056,0.001602266707050956,0.2088393010495967,0.013733373426717413
circle,0.2,44,-0.2385163793215547,original_96,-0.24076052588279317,reconstructed_locked_E_in_sample_from_original_96_training_formula,0.2,44,circle,0.5753629015687899,0.08853205831692,0.0022441465612384748,0.6472210184982656,-0.6058452351437134,0.0018499882785819747,-0.2389105376042112,0.0003941582826565001
circle,0.2,56,0.2772983526251853,original_96,0.19842311310859959,reconstructed_locked_E_in_sample_from_original_96_training_formula,0.2,56,circle,0.5427951188606239,0.1140387963511826,0.07887523951658573,0.5743721698252683,-0.5932802359341379,0.0016417603127072875,0.20006487342130688,0.07723347920387845
circle,0.2,68,0.2728691860705048,original_96,0.10257326722025509,reconstructed_locked_E_in_sample_from_original_96_training_formula,0.2,68,circle,0.5452415663729869,0.1131664003859247,0.17029591885024972,0.579844476190475,-0.5937099911854435,0.0016574021141060303,0.10423066933436112,0.1686385167361437
circle,0.3,0,-0.0295240501818834,original_96,0.0945475278694446,reconstructed_locked_E_in_sample_from_original_96_training_formula,0.3,0,circle,0.0704741915431983,6.84931733582102e-16,-0.12407157805132801,-0.4821331522459673,-0.6494574462104482,-0.0013781083352953692,0.09316941953414924,-0.12269346971603265
circle,0.3,8,0.0049740305851742,original_96,0.12379697939966558,reconstructed_locked_E_in_sample_from_original_96_training_formula,0.3,8,circle,0.2525106584865502,0.0184581100773254,-0.11882294881449137,-0.07494709502635033,-0.6403647061579845,-0.00021422550156703396,0.12358275389809854,-0.11860872331292434
circle,0.3,18,0.0441481023209054,original_96,0.12544105734522723,reconstructed_locked_E_in_sample_from_original_96_training_formula,0.3,18,circle,0.3348530493639293,0.0406829622333641,-0.08129295502432182,0.10923948058891018,-0.6294164128325721,0.0003122453580336074,0.12575330270326085,-0.08160520038235543
circle,0.3,26,0.1415258008603637,original_96,0.23972355680024682,reconstructed_locked_E_in_sample_from_original_96_training_formula,0.3,26,circle,0.2438553348120116,0.0572933897966614,-0.09819775593988311,-0.09430765052478082,-0.6212338687172414,-0.0002695648674331754,0.23945399193281364,-0.09792819107244993
circle,0.3,34,0.3290213866896017,original_96,0.38075597793391913,reconstructed_locked_E_in_sample_from_original_96_training_formula,0.3,34,circle,0.2056726307621703,0.0720353563417867,-0.05173459124431745,-0.17971616771423285,-0.6139717563397876,-0.0005136928409933801,0.38024228509292574,-0.05122089840332407
circle,0.3,44,-0.1934475304614282,original_96,-0.11391689737657262,reconstructed_locked_E_in_sample_from_original_96_training_formula,0.3,44,circle,0.340082244611781,0.0866269534383404,-0.07953063308485558,0.12093634238345873,-0.6067837181932259,0.0003456791566860628,-0.11357121821988655,-0.07987631224154165
circle,0.3,56,-0.0073660580826051,original_96,0.029368606897632724,reconstructed_locked_E_in_sample_from_original_96_training_formula,0.3,56,circle,0.3285539465975824,0.1055618081749945,-0.03673466498023782,0.09514940917344955,-0.5974561266180155,0.00027197091357340336,0.029640577811206128,-0.03700663589381122
circle,0.3,68,0.572377155987823,original_96,0.28511903420257523,reconstructed_locked_E_in_sample_from_original_96_training_formula,0.3,68,circle,0.3495966250556238,0.1185718076186078,0.2872581217852478,0.14221846856876513,-0.5910472070413143,0.0004065110562394375,0.2855255452588147,0.28685161072900833
circle,0.4,0,-0.0033820196043866,original_96,0.1013769571306574,reconstructed_locked_E_in_sample_from_original_96_training_formula,0.4,0,circle,0.1901375377046124,6.801644266043415e-16,-0.104758976735044,-0.21446565168776732,-0.6494574462104482,-0.0006130192475847062,0.1007639378830727,-0.10414595748745929
circle,0.4,8,-0.0047319954078167,original_96,0.14686799477288434,reconstructed_locked_E_in_sample_from_original_96_training_formula,0.4,8,circle,0.1484454246148986,0.0160667243240838,-0.15159999018070103,-0.3077241478078764,-0.6415427384120073,-0.0008795852579109711,0.14598840951497338,-0.15072040492279007
circle,0.4,18,0.1274413667707242,original_96,0.2363522629522489,reconstructed_locked_E_in_sample_from_original_96_training_formula,0.4,18,circle,0.1987550784955379,0.0363901790568508,-0.10891089618152469,-0.1951896103730448,-0.6315311017883811,-0.00055792145336838,0.2357943414988805,-0.10835297472815632
circle,0.4,26,0.227884140442528,original_96,0.38181440766107266,reconstructed_locked_E_in_sample_from_original_96_training_formula,0.4,26,circle,-0.030351055852508,0.0470189896862915,-0.15393026721854466,-0.7076628806823357,-0.6262951913015814,-0.0020227526564071,0.37979165500466555,-0.15190751456213755
