source_path,public_path,role,status,bytes,sha256
reduceorder1st/theory_outputs_v3_coefficient_freeze/frozen_v3_coefficients.json,data/reduced_order_falsification/freeze_sources/frozen_v3_coefficients.json,exact frozen coefficient packet,included,2852,2c3cf2b5ecd1193ec10524f137cc2c84a2c5ca1014f94a46afdd4fda359b628c
reduceorder1st/theory_outputs_v3_coefficient_freeze/development_v3_calibration_table.csv,data/reduced_order_falsification/freeze_sources/development_v3_calibration_table.csv,exact 232-row development calibration table,included,69619,9b8618b670bea3d5228c63366dd5f6bbd4d2b7db1c11341a3ff33f19861a3a7f
reduceorder1st/theory_outputs_v3_coefficient_freeze/heldout3_execution_packet.md,data/reduced_order_falsification/freeze_sources/heldout3_execution_packet_public_copy.md,public-safe held-out evaluation execution packet,included,1628,467cad1e521f96ef025346233fefe403f1c79fe5bae655e79ed66839cf95be92
reduceorder1st/theory_outputs_v3_spec/v3_model_form_freeze.md,data/reduced_order_falsification/freeze_sources/v3_model_form_freeze_public_copy.md,public-safe frozen model-form document,included,3018,e3e539c8a0ea61a3bad91d45ba9d7848a5f73a0ac34d1bd6ef5e05d9a0dd9c07
reduceorder1st/theory_outputs_v3_spec/v3_theory_specification.md,data/reduced_order_falsification/freeze_sources/v3_theory_specification_public_copy.md,public-safe v3 specification document,included,4063,f72aafd4a0ea5efea44d80baef85cf0fd39b307511cd35195ece26518ea35597
reduceorder1st/theory_outputs_state_variables/state_variable_definitions.md,data/reduced_order_falsification/freeze_sources/state_variable_definitions.md,state-variable definitions,included,7876,a6e985974b432d269736bdf93bed1d2d856f5d553cdf8f457ae75bea00a40993
reduceorder1st/theory_outputs_state_features/state_feature_computability_report.md,data/reduced_order_falsification/freeze_sources/state_feature_computability_report.md,state-feature computability report,included,1308,62a70aee0951ad264f418ce9276a127f431ef388426d6329a054440ca6867379
reduceorder1st/theory_outputs_fullgrid/fullgrid_theory_model_comparison.csv,data/reduced_order_falsification/freeze_sources/fullgrid_theory_model_comparison.csv,original-grid model comparison source,included,15561,7b0db8f34f39a056804db0f318770821f4ac1ff7e9e2faac8d822d3e2e2671cd
reduceorder1st/theory_outputs_fullgrid/fullgrid_cell_level_predictions.csv,data/reduced_order_falsification/freeze_sources/fullgrid_cell_level_predictions.csv,original-grid cell predictions,included,109250,7b7be0bb4b96a0e495367ef38d015a2dfbb99f5b3f08e54757d7945901a4626b
reduceorder1st/theory_outputs_heldout/heldout_cell_predictions.csv,data/reduced_order_falsification/freeze_sources/heldout1_cell_predictions.csv,heldout1 cell predictions,included,49277,35b8016efc6f6180731bc06bd88a349f209a06eee588872e4185df84ba9137d3
reduceorder1st/theory_outputs_heldout/heldout_model_summary.md,data/reduced_order_falsification/freeze_sources/heldout1_model_summary.md,heldout1 summary,included,1277,c9547c07f29e67e7a362bef49de1d08f6bc5917290fb907ab0558ea5fc1c6135
reduceorder1st/theory_outputs_heldout2/heldout2_cell_predictions.csv,data/reduced_order_falsification/freeze_sources/heldout2_cell_predictions.csv,heldout2 cell predictions,included,70763,b4f160822a95fbf4c2c1cfc49e22e3c968e7ded23d5ea29ad63f482937016dbb
reduceorder1st/theory_outputs_heldout2/heldout2_model_summary.md,data/reduced_order_falsification/freeze_sources/heldout2_model_summary.md,heldout2 summary,included,1465,ed78aca1de422466e318a36df1f31f5a89a7d1621e3d577645e5411e1aa322b1
reduceorder1st/theory_outputs_heldout3/heldout3_cell_predictions.csv,data/reduced_order_falsification/freeze_sources/heldout3_cell_predictions.csv,heldout3 cell predictions,included,121872,78966a7e46f9e01e430b2cdd676b6ad0543848718ea7d93078041d99676f9a26
reduceorder1st/theory_outputs_heldout3/heldout3_model_summary.md,data/reduced_order_falsification/freeze_sources/heldout3_model_summary.md,heldout3 summary,included,1334,2f594dcc64ea019086db243fbbc38a7e5c5c7e0afc8cfc5a49f4f8b12c744f3a
