model,model_class,evaluation_scheme,n_cells_evaluated,features,free_parameters,correlation_with_rmse_gap,r2,mae,sign_accuracy,balanced_accuracy,false_benefit,false_harm,trajectory_wise_accuracy,delay_wise_accuracy,minority_fraction_wise_accuracy,notes
A_scalar_delay_feedback,A,loocv,96,"delay, tr, delay_x_tr",4,0.6346732723246931,0.4007708864038425,0.16213721720678684,0.8229166666666666,0.6132478632478633,13,4,"{""circle"": 0.7916666666666666, ""lemniscate"": 0.75, ""square"": 0.9583333333333334, ""zigzag"": 0.7916666666666666}","{""0"": 0.5, ""18"": 0.8333333333333334, ""26"": 1.0, ""34"": 1.0, ""44"": 0.8333333333333334, ""56"": 0.9166666666666666, ""68"": 0.8333333333333334, ""8"": 0.6666666666666666}","{""0.2"": 0.8125, ""0.3"": 0.78125, ""0.4"": 0.875}",scalar delay feedback
A_scalar_delay_feedback,A,leave_one_trajectory_out,96,"delay, tr, delay_x_tr",4,0.5771694797021489,0.3194433774362384,0.1770734008721315,0.7708333333333334,0.5384615384615384,15,7,"{""circle"": 0.7916666666666666, ""lemniscate"": 0.6666666666666666, ""square"": 0.9166666666666666, ""zigzag"": 0.7083333333333334}","{""0"": 0.25, ""18"": 0.8333333333333334, ""26"": 1.0, ""34"": 1.0, ""44"": 0.8333333333333334, ""56"": 0.9166666666666666, ""68"": 0.8333333333333334, ""8"": 0.5}","{""0.2"": 0.78125, ""0.3"": 0.71875, ""0.4"": 0.8125}",scalar delay feedback
A_scalar_delay_feedback,A,leave_one_delay_out,96,"delay, tr, delay_x_tr",4,0.6459125834296856,0.41518523022751397,0.1629080673148702,0.8333333333333334,0.6623931623931624,11,5,"{""circle"": 0.8333333333333334, ""lemniscate"": 0.7916666666666666, ""square"": 0.9166666666666666, ""zigzag"": 0.7916666666666666}","{""0"": 0.5833333333333334, ""18"": 0.8333333333333334, ""26"": 1.0, ""34"": 1.0, ""44"": 0.8333333333333334, ""56"": 0.9166666666666666, ""68"": 0.8333333333333334, ""8"": 0.6666666666666666}","{""0.2"": 0.84375, ""0.3"": 0.78125, ""0.4"": 0.875}",scalar delay feedback
A_scalar_delay_feedback,A,leave_one_minority_fraction_out,96,"delay, tr, delay_x_tr",4,0.5158284397072632,0.1814909217871319,0.21177488904122613,0.6041666666666666,0.5427350427350428,10,28,"{""circle"": 0.5833333333333334, ""lemniscate"": 0.5416666666666666, ""square"": 0.6666666666666666, ""zigzag"": 0.625}","{""0"": 0.5833333333333334, ""18"": 0.5, ""26"": 0.6666666666666666, ""34"": 0.6666666666666666, ""44"": 0.6666666666666666, ""56"": 0.5833333333333334, ""68"": 0.6666666666666666, ""8"": 0.5}","{""0.2"": 0.15625, ""0.3"": 0.78125, ""0.4"": 0.875}",scalar delay feedback
B_direct_relief_only,B,loocv,96,frame_energy_relief,2,0.2448820709326022,0.05207959376344529,0.22543970155918136,0.8125,0.5,18,0,"{""circle"": 0.7083333333333334, ""lemniscate"": 0.6666666666666666, ""square"": 0.9583333333333334, ""zigzag"": 0.9166666666666666}","{""0"": 0.4166666666666667, ""18"": 0.8333333333333334, ""26"": 1.0, ""34"": 1.0, ""44"": 0.8333333333333334, ""56"": 0.9166666666666666, ""68"": 0.8333333333333334, ""8"": 0.6666666666666666}","{""0.2"": 0.84375, ""0.3"": 0.78125, ""0.4"": 0.8125}",direct projected relief only
B_direct_relief_only,B,leave_one_trajectory_out,96,frame_energy_relief,2,0.24721216162332782,0.04844590774874491,0.2294060517987745,0.8125,0.5,18,0,"{""circle"": 0.7083333333333334, ""lemniscate"": 0.6666666666666666, ""square"": 0.9583333333333334, ""zigzag"": 0.9166666666666666}","{""0"": 0.4166666666666667, ""18"": 0.8333333333333334, ""26"": 1.0, ""34"": 1.0, ""44"": 0.8333333333333334, ""56"": 0.9166666666666666, ""68"": 0.8333333333333334, ""8"": 0.6666666666666666}","{""0.2"": 0.84375, ""0.3"": 0.78125, ""0.4"": 0.8125}",direct projected relief only
B_direct_relief_only,B,leave_one_delay_out,96,frame_energy_relief,2,0.005520627591724415,-0.25382461452784844,0.2557179365982044,0.8125,0.5,18,0,"{""circle"": 0.7083333333333334, ""lemniscate"": 0.6666666666666666, ""square"": 0.9583333333333334, ""zigzag"": 0.9166666666666666}","{""0"": 0.4166666666666667, ""18"": 0.8333333333333334, ""26"": 1.0, ""34"": 1.0, ""44"": 0.8333333333333334, ""56"": 0.9166666666666666, ""68"": 0.8333333333333334, ""8"": 0.6666666666666666}","{""0.2"": 0.84375, ""0.3"": 0.78125, ""0.4"": 0.8125}",direct projected relief only
B_direct_relief_only,B,leave_one_minority_fraction_out,96,frame_energy_relief,2,-0.020505686158969368,-0.26985544304583176,0.26620498794327174,0.6666666666666666,0.45299145299145294,16,16,"{""circle"": 0.5, ""lemniscate"": 0.625, ""square"": 0.6666666666666666, ""zigzag"": 0.875}","{""0"": 0.4166666666666667, ""18"": 0.5833333333333334, ""26"": 0.75, ""34"": 0.8333333333333334, ""44"": 0.75, ""56"": 0.75, ""68"": 0.6666666666666666, ""8"": 0.5833333333333334}","{""0.2"": 0.40625, ""0.3"": 0.78125, ""0.4"": 0.8125}",direct projected relief only
C_direct_relief_cost_balance,C,loocv,96,"frame_energy_relief, frame_abs_relief, osc_change_pct, edot_change_pct, tail_delta",6,0.7678696236081642,0.5831769308995256,0.1419053945942378,0.90625,0.75,9,0,"{""circle"": 0.7916666666666666, ""lemniscate"": 0.9166666666666666, ""square"": 1.0, ""zigzag"": 0.9166666666666666}","{""0"": 0.6666666666666666, ""18"": 0.9166666666666666, ""26"": 1.0, ""34"": 1.0, ""44"": 1.0, ""56"": 0.9166666666666666, ""68"": 0.8333333333333334, ""8"": 0.9166666666666666}","{""0.2"": 0.90625, ""0.3"": 0.90625, ""0.4"": 0.90625}",direct relief plus replayed cost terms
C_direct_relief_cost_balance,C,leave_one_trajectory_out,96,"frame_energy_relief, frame_abs_relief, osc_change_pct, edot_change_pct, tail_delta",6,0.6903150325969526,-0.6775618492908682,0.22698450337335133,0.9166666666666666,0.7777777777777778,8,0,"{""circle"": 0.75, ""lemniscate"": 1.0, ""square"": 1.0, ""zigzag"": 0.9166666666666666}","{""0"": 0.75, ""18"": 1.0, ""26"": 1.0, ""34"": 1.0, ""44"": 0.9166666666666666, ""56"": 0.9166666666666666, ""68"": 0.8333333333333334, ""8"": 0.9166666666666666}","{""0.2"": 0.9375, ""0.3"": 0.875, ""0.4"": 0.9375}",direct relief plus replayed cost terms
