index,label,doi,status,manuscript_year,crossref_year,title_similarity,title_crossref,container_crossref,authors_crossref,volume_crossref,issue_crossref,page_crossref,type_crossref,doi_url,flag
1,Bak et al. 2024,10.1145/3641513.3650141,found_crossref,2024,2024,1.0,Falsification using Reachability of Surrogate Koopman Models,Proceedings of the 27th ACM International Conference on Hybrid Systems: Computation and Control,Stanley Bak; Sergiy Bogomolov; Abdelrahman Hekal; Niklas Kochdumper; Ethan Lew; Andrew Mata; Amir Rahmati,,,1-13,proceedings-article,https://doi.org/10.1145/3641513.3650141,OK
2,Battilotti et al. 2023,10.1109/TCNS.2023.3258625,found_crossref,2023,2023,1.0,Leader-Following Consensus With Nonuniform and Large Communication Delays,IEEE Transactions on Control of Network Systems,Stefano Battilotti; Filippo Cacace; Claudia Califano; Massimiliano d'Angelo,10.0,4,1975-1985,journal-article,https://doi.org/10.1109/tcns.2023.3258625,OK
3,Deng et al. 2024,10.1063/5.0210328,found_crossref,2024,2024,1.0,Dynamic event-triggered quantized secure output consensus of heterogeneous multi-agent systems under DoS attacks,Chaos: An Interdisciplinary Journal of Nonlinear Science,Furong Deng; Chengjie Xu; Zhi-Hong Guan; Gang Chen,34.0,9,,journal-article,https://doi.org/10.1063/5.0210328,OK
4,Li et al. 2024,10.1109/TAC.2023.3270373,found_crossref,2024,2024,1.0,Sampled-Data-Based Distributed Output Feedback Leader–Following Consensus for Time-Delay Multiagent Systems,IEEE Transactions on Automatic Control,Yafeng Li; Steven X. Ding; Guopin Liu; Changchun Hua,69.0,1,582-589,journal-article,https://doi.org/10.1109/tac.2023.3270373,OK
5,Liang et al. 2023,10.1109/JAS.2022.106070,found_crossref,2023,2023,1.0,Event-Triggered Asymmetric Bipartite Consensus Tracking for Nonlinear Multi-Agent Systems Based on Model-Free Adaptive Control,IEEE/CAA Journal of Automatica Sinica,Jiaqi Liang; Xuhui Bu; Lizhi Cui; Zhongsheng Hou,10.0,3,662-672,journal-article,https://doi.org/10.1109/jas.2022.106070,OK
6,Lin and Ling 2025,10.1109/TAC.2024.3422230,found_crossref,2025,2025,0.995,Event-Triggered Quantized Consensus of Linear Multiagent Systems Under Asynchronous Denial-of-Service Attacks,IEEE Transactions on Automatic Control,Na Lin; Qiang Ling,70.0,1,697-704,journal-article,https://doi.org/10.1109/tac.2024.3422230,OK
7,Malek et al. 2024,10.1002/rnc.7584,found_crossref,2024,2024,1.0,Quantized output‐feedback event‐triggered distributed control of switched fractional multi‐agent systems subject to input nonlinearities and consensus error constraints,International Journal of Robust and Nonlinear Control,Sayyed Alireza Malek; Mohammad Shahrokhi; Aboozar Pishro,34.0,17,11529-11556,journal-article,https://doi.org/10.1002/rnc.7584,OK
8,Chandratre et al. 2023,10.1145/3575870.3587122,found_crossref,2023,2023,1.0,Stealthy attacks formalized as STL formulas for Falsification of CPS Security,Proceedings of the 26th ACM International Conference on Hybrid Systems: Computation and Control,Aniruddh Chandratre; Tomas Hernandez Acosta; Tanmay Khandait; Giulia Pedrielli; Georgios Fainekos,,,1-8,proceedings-article,https://doi.org/10.1145/3575870.3587122,OK
9,Pu et al. 2024,10.1002/acs.3765,found_crossref,2024,2024,1.0,Dynamic event‐triggered control for the leader‐following consensus of multi‐agent systems with input time delay,International Journal of Adaptive Control and Signal Processing,Xingcheng Pu; Jiaang Hou; Yonghong Li,38.0,5,1579-1593,journal-article,https://doi.org/10.1002/acs.3765,OK
10,Yancosek and Baheri 2024,10.1109/ACCESS.2024.3436515,found_crossref,2024,2024,1.0,BEACON: A Bayesian Evolutionary Approach for Counterexample Generation of Control Systems,IEEE Access,Joshua Yancosek; Ali Baheri,12.0,,106455-106465,journal-article,https://doi.org/10.1109/access.2024.3436515,OK
